Name,influences,influenced,Philosopher Name,Birth
https://en.wikipedia.org/wiki/Louis_Althusser,"['https://en.wikipedia.org/wiki/Karl_Marx', 'https://en.wikipedia.org/wiki/Gaston_Bachelard', 'https://en.wikipedia.org/wiki/Georges_Canguilhem', 'https://en.wikipedia.org/wiki/Jean_Cavaill%C3%A8s', 'https://en.wikipedia.org/wiki/Jacques_Lacan', 'https://en.wikipedia.org/wiki/Sigmund_Freud', 'https://en.wikipedia.org/wiki/Vladimir_Lenin', 'https://en.wikipedia.org/wiki/Mao_Zedong', 'https://en.wikipedia.org/wiki/Antonio_Gramsci', 'https://en.wikipedia.org/wiki/G._W._F._Hegel', 'https://en.wikipedia.org/wiki/Friedrich_Nietzsche', 'https://en.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli', 'https://en.wikipedia.org/wiki/Baruch_Spinoza', 'https://en.wikipedia.org/wiki/Montesquieu', 'https://en.wikipedia.org/wiki/Jean-Jacques_Rousseau']","['https://en.wikipedia.org/wiki/Nicos_Poulantzas', 'https://en.wikipedia.org/wiki/Jacques_Ranci%C3%A8re', 'https://en.wikipedia.org/wiki/%C3%89tienne_Balibar', 'https://en.wikipedia.org/wiki/Alain_Badiou', 'https://en.wikipedia.org/wiki/Pierre_Bourdieu', 'https://en.wikipedia.org/wiki/Giulio_Angioni', 'https://en.wikipedia.org/wiki/Judith_Butler', 'https://en.wikipedia.org/wiki/Gilles_Deleuze', 'https://en.wikipedia.org/wiki/Michel_Foucault', 'https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek', 'https://en.wikipedia.org/wiki/Dominique_Lecourt', 'https://en.wikipedia.org/wiki/Pierre_Macherey', 'https://en.wikipedia.org/wiki/Jacques-Alain_Miller', 'https://en.wikipedia.org/wiki/Stephen_Resnick', 'https://en.wikipedia.org/wiki/Richard_D._Wolff', 'https://en.wikipedia.org/wiki/Anthony_Giddens', 'https://en.wikipedia.org/wiki/Alain_Badiou', 'https://en.wikipedia.org/wiki/%C3%89tienne_Balibar', 'https://en.wikipedia.org/wiki/Pierre_Bourdieu', 'https://en.wikipedia.org/wiki/Judith_Butler', 'https://en.wikipedia.org/wiki/Gerald_Cohen', 'https://en.wikipedia.org/wiki/Michel_Foucault', 'https://en.wikipedia.org/wiki/Fredric_Jameson', 'https://en.wikipedia.org/wiki/Ernesto_Laclau', 'https://en.wikipedia.org/wiki/Antonio_Negri', 'https://en.wikipedia.org/wiki/Nicos_Poulantzas', 'https://en.wikipedia.org/wiki/Jacques_Ranci%C3%A8re', 'https://en.wikipedia.org/wiki/Raymond_Williams', 'https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek']",Louis Althusser,1918
https://en.wikipedia.org/wiki/Ammonius_Saccas,"['https://en.wikipedia.org/wiki/Plato', 'https://en.wikipedia.org/wiki/Aristotle', 'https://en.wikipedia.org/wiki/Socrates']","['https://en.wikipedia.org/wiki/Origen', 'https://en.wikipedia.org/wiki/Tertullian', 'https://en.wikipedia.org/wiki/Plotinus', 'https://en.wikipedia.org/wiki/Hypatia', 'https://en.wikipedia.org/wiki/Plotinus']",Ammonius Saccas,175
https://en.wikipedia.org/wiki/Anaxagoras,"['https://en.wikipedia.org/wiki/Milesian_school', 'https://en.wikipedia.org/wiki/Parmenides']","['https://en.wikipedia.org/wiki/Archelaus_(philosopher)', 'https://en.wikipedia.org/wiki/Pericles', 'https://en.wikipedia.org/wiki/Socrates', 'https://en.wikipedia.org/wiki/Protagoras', 'https://en.wikipedia.org/wiki/Protagoras', 'https://en.wikipedia.org/wiki/Socrates']",Anaxagoras,-500
https://en.wikipedia.org/wiki/Anaximander,['https://en.wikipedia.org/wiki/Thales'],"['https://en.wikipedia.org/wiki/Anaximenes_of_Miletus', 'https://en.wikipedia.org/wiki/Pythagoras', 'https://en.wikipedia.org/wiki/Democritus', 'https://en.wikipedia.org/wiki/Greek_astronomy', 'https://en.wikipedia.org/wiki/Martin_Heidegger', 'https://en.wikipedia.org/wiki/Martin_Heidegger', 'https://en.wikipedia.org/wiki/Heraclitus', 'https://en.wikipedia.org/wiki/Pythagoras']",Anaximander,-610
https://en.wikipedia.org/wiki/John_Anderson_(philosopher),"['https://en.wikipedia.org/wiki/Samuel_Alexander', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/Bertrand_Russell', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/G._E._Moore', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/Henry_Jones_(philosopher)', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/Heraclitus', 'https://en.wikipedia.org#cite_note-SEP-1']","['https://en.wikipedia.org/wiki/John_Passmore', 'https://en.wikipedia.org/wiki/A._J._Baker', 'https://en.wikipedia.org/wiki/David_Malet_Armstrong', 'https://en.wikipedia.org/wiki/David_Stove', 'https://en.wikipedia.org/wiki/J._L._Mackie', 'https://en.wikipedia.org/wiki/Eugene_Kamenka', 'https://en.wikipedia.org/wiki/Hedley_Bull', 'https://en.wikipedia.org/wiki/J._L._Mackie', 'https://en.wikipedia.org/wiki/David_Stove']",John Anderson (philosopher),1893
https://en.wikipedia.org/wiki/G._E._M._Anscombe,"['https://en.wikipedia.org/wiki/Ludwig_Wittgenstein', 'https://en.wikipedia.org/wiki/Peter_Geach', 'https://en.wikipedia.org/wiki/Thomas_Aquinas']","['https://en.wikipedia.org/wiki/Michael_Dummett', 'https://en.wikipedia.org#cite_note-1', 'https://en.wikipedia.org/wiki/Anthony_Kenny', 'https://en.wikipedia.org/wiki/Thomas_Nagel', 'https://en.wikipedia.org/wiki/Roger_Scruton', 'https://en.wikipedia.org/wiki/Donald_Davidson_(philosopher)', 'https://en.wikipedia.org/wiki/Charles_Taylor_(philosopher)', 'https://en.wikipedia.org/wiki/John_Searle', 'https://en.wikipedia.org/wiki/Alasdair_MacIntyre', 'https://en.wikipedia.org/wiki/Philippa_Foot', 'https://en.wikipedia.org/wiki/Brian_Davies_(philosopher)', 'https://en.wikipedia.org/wiki/Iris_Murdoch', 'https://en.wikipedia.org#cite_note-2', 'https://en.wikipedia.org/wiki/Michael_Dummett', 'https://en.wikipedia.org/wiki/Paul_Feyerabend', 'https://en.wikipedia.org/wiki/Philippa_Foot', 'https://en.wikipedia.org/wiki/Alasdair_MacIntyre']",G. E. M. Anscombe,1919
https://en.wikipedia.org/wiki/Anselm_of_Canterbury,"['https://en.wikipedia.org/wiki/Augustine_of_Hippo', 'https://en.wikipedia.org/wiki/Boethius', 'https://en.wikipedia.org#cite_note-4']","['https://en.wikipedia.org/wiki/Bonaventure', 'https://en.wikipedia.org/wiki/Thomas_Aquinas', 'https://en.wikipedia.org/wiki/Duns_Scotus', 'https://en.wikipedia.org/wiki/William_of_Ockham', 'https://en.wikipedia.org/wiki/Thomas_Bradwardine', 'https://en.wikipedia.org#cite_note-5', 'https://en.wikipedia.org/wiki/Robert_Grosseteste', 'https://en.wikipedia.org#cite_note-6', 'https://en.wikipedia.org/wiki/Thomas_Aquinas', 'https://en.wikipedia.org/wiki/Bonaventure', 'https://en.wikipedia.org/wiki/Thomas_Bradwardine', 'https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes', 'https://en.wikipedia.org/wiki/Duns_Scotus', 'https://en.wikipedia.org/wiki/Giles_of_Rome', 'https://en.wikipedia.org/wiki/Robert_Grosseteste', 'https://en.wikipedia.org/wiki/William_of_Ockham']",Anselm of Canterbury,1033
https://en.wikipedia.org/wiki/Antisthenes,"['https://en.wikipedia.org/wiki/Socrates', 'https://en.wikipedia.org/wiki/Gorgias']","['https://en.wikipedia.org/wiki/Diogenes_of_Sinope', 'https://en.wikipedia.org/wiki/Crates_of_Thebes', 'https://en.wikipedia.org/wiki/Cynicism_(philosophy)', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Diogenes_of_Sinope']",Antisthenes,-446
https://en.wikipedia.org/wiki/Karl-Otto_Apel,"['https://en.wikipedia.org/wiki/Immanuel_Kant', 'https://en.wikipedia.org/wiki/Charles_Sanders_Peirce', 'https://en.wikipedia.org/wiki/Martin_Heidegger', 'https://en.wikipedia.org/wiki/Max_Horkheimer', 'https://en.wikipedia.org/wiki/Georg_Henrik_von_Wright']","['https://en.wikipedia.org/wiki/Hans-Hermann_Hoppe', 'https://en.wikipedia.org/wiki/Vittorio_H%C3%B6sle', 'https://en.wikipedia.org/wiki/J%C3%BCrgen_Habermas', 'https://en.wikipedia.org/wiki/J%C3%BCrgen_Habermas']",Karl-Otto Apel,1922
https://en.wikipedia.org/wiki/Thomas_Aquinas,"['https://en.wikipedia.org/wiki/Aristotle', 'https://en.wikipedia.org/wiki/Plato', 'https://en.wikipedia.org/wiki/Socrates', 'https://en.wikipedia.org/wiki/Averroes', 'https://en.wikipedia.org#cite_note-jacb1-5', 'https://en.wikipedia.org/wiki/Augustine_of_Hippo', 'https://en.wikipedia.org/wiki/Boethius', 'https://en.wikipedia.org/wiki/Paul_the_Apostle', 'https://en.wikipedia.org/wiki/Pseudo-Dionysius_the_Areopagite', 'https://en.wikipedia.org/wiki/Albertus_Magnus', 'https://en.wikipedia.org/wiki/Maimonides', 'https://en.wikipedia.org/wiki/Avicenna', 'https://en.wikipedia.org/wiki/Al-Ghazali', 'https://en.wikipedia.org#cite_note-6', 'https://en.wikipedia.org/wiki/Cicero', 'https://en.wikipedia.org#cite_note-7', 'https://en.wikipedia.org/wiki/Anselm_of_Canterbury', 'https://en.wikipedia.org#cite_note-8']","['https://en.wikipedia.org/wiki/Western_philosophy', 'https://en.wikipedia.org/wiki/Catholic_theology', 'https://en.wikipedia.org#cite_note-9', 'https://en.wikipedia.org/wiki/Protestant_theology', 'https://en.wikipedia.org/wiki/G._E._M._Anscombe', 'https://en.wikipedia.org/wiki/Antoine_Arnauld', 'https://en.wikipedia.org/wiki/Louis_Gabriel_Ambroise_de_Bonald', 'https://en.wikipedia.org/wiki/Thomas_Cajetan', 'https://en.wikipedia.org/wiki/Joseph_de_Maistre', 'https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes', 'https://en.wikipedia.org/wiki/Duns_Scotus', 'https://en.wikipedia.org/wiki/Meister_Eckhart', 'https://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken', 'https://en.wikipedia.org/wiki/Philippa_Foot', 'https://en.wikipedia.org/wiki/Peter_Geach', 'https://en.wikipedia.org/wiki/Giles_of_Rome', 'https://en.wikipedia.org/wiki/%C3%89tienne_Gilson', 'https://en.wikipedia.org/wiki/Martin_Heidegger', 'https://en.wikipedia.org/wiki/Alasdair_MacIntyre', 'https://en.wikipedia.org/wiki/Joseph_Mar%C3%A9chal', 'https://en.wikipedia.org/wiki/Jacques_Maritain', 'https://en.wikipedia.org/wiki/Damaris_Cudworth_Masham', 'https://en.wikipedia.org/wiki/John_Stuart_Mill', 'https://en.wikipedia.org/wiki/Luis_de_Molina', 'https://en.wikipedia.org/wiki/Thomas_More', 'https://en.wikipedia.org/wiki/Nicholas_of_Cusa', 'https://en.wikipedia.org/wiki/William_of_Ockham', 'https://en.wikipedia.org/wiki/Paul_of_Venice', 'https://en.wikipedia.org/wiki/Alvin_Plantinga', 'https://en.wikipedia.org/wiki/Karl_Rahner', 'https://en.wikipedia.org/wiki/Thomas_Reid', 'https://en.wikipedia.org/wiki/Edith_Stein', 'https://en.wikipedia.org/wiki/Francisco_Su%C3%A1rez', 'https://en.wikipedia.org/wiki/Teresa_of_Avila', 'https://en.wikipedia.org/wiki/Giambattista_Vico', 'https://en.wikipedia.org/wiki/Eric_Voegelin', 'https://en.wikipedia.org/wiki/Xavier_Zubiri']",Thomas Aquinas,1225
